pond,sexo,region,edad,satisfaccion_vida,satisfaccion_chilenos,eval_econ
0.92149875,2,13,50,9,7,2
1.491158499,1,13,18,8,7,3
1.546985241,2,10,25,5,4,2
0.846971838,2,13,69,5,5,3
0.846971838,2,13,60,5,3,2
0.720162202,1,5,80,3,88,1
1.039391632,1,13,78,6,8,2
0.93713342,1,9,76,8,5,3
1.039391632,1,13,75,10,10,1
0.809449772,1,6,75,10,3,3
0.784478418,1,4,75,7,6,3
0.846971838,2,13,70,5,6,3
1.039391632,1,13,72,8,88,3
0.720162202,1,5,71,10,6,3
1.039391632,1,13,71,6,5,3
0.496042009,2,7,70,5,3,4
1.039391632,1,13,70,8,5,4
1.030286506,2,13,35,10,10,3
0.722750737,1,8,70,4,4,1
0.784478418,1,4,69,7,5,3
